text,category
"Government introduces bill to support small businesses.","Politics"
"Tennis player named athlete of the year.","Sports"
"AI-powered chatbot sets new benchmark for human-like conversation.","Technology"
"Celebrity chef launches cooking show on global network.","Entertainment"
"Prime Minister announces new digital ID initiative.","Politics"
"National team wins regional championship trophy.","Sports"
"Startup builds wearable AI assistant for productivity.","Technology"
"Famous artist opens solo exhibition in New York.","Entertainment"
"Government faces protests over new economic policy.","Politics"
"Boxing match draws record pay-per-view audience.","Sports"
"Tech giant invests in quantum computing research.","Technology"
"Actor to host new late-night talk show.","Entertainment"
"Cabinet reshuffle brings new faces into key ministries.","Politics"
"Football association introduces new fair play rules.","Sports"
"Company develops AI model to detect cyber threats faster.","Technology"
"Film festival celebrates diversity in cinema.","Entertainment"
"Government pledges to reduce carbon emissions by 40% by 2030.","Politics"
"Star sprinter announces retirement from athletics.","Sports"
"Developers launch open-source AI image generator.","Technology"
"Pop icon announces charity concert tour for global aid.","Entertainment"
"President signs agreement to improve trade relations.","Politics"
"Rugby team claims victory in continental championship.","Sports"
"Researchers unveil device that converts air into clean water.","Technology"
"Famous director returns with highly anticipated new film.","Entertainment"
"Lawmakers pass law supporting renewable energy subsidies.","Politics"
"Basketball player joins new international club.","Sports"
"Company launches AI platform for medical diagnosis.","Technology"
"TV host announces comeback after two-year break.","Entertainment"
"Election observers monitor peaceful voting process.","Politics"
"National cricket team records biggest win in series history.","Sports"
"Tech startup launches privacy-focused search engine.","Technology"
"Movie premiere attracts celebrities from around the world.","Entertainment"
"Prime Minister addresses parliament on foreign policy goals.","Politics"
"Young gymnast wins national championship title.","Sports"
"Researchers develop chip to speed up neural network training.","Technology"
"Documentary series explores rise of digital influencers.","Entertainment"
"Opposition demands review of recent defense spending.","Politics"
"Local football team opens new state-of-the-art training facility.","Sports"
"New AI assistant integrates with smart home devices.","Technology"
"Film star launches foundation to help underprivileged youth.","Entertainment"
